source,source_binomial
HarrisonGoldspiel_LandVertsNortheast,Thalasseus sandvicensis
HarrisonGoldspiel_LandVertsNortheast,Xema sabini
HarrisonGoldspiel_LandVertsNortheast,Himantopus mexicanus
HarrisonGoldspiel_LandVertsNortheast,Recurvirostra americana
HarrisonGoldspiel_LandVertsNortheast,Actitis macularius
HarrisonGoldspiel_LandVertsNortheast,Arenaria interpres
HarrisonGoldspiel_LandVertsNortheast,Bartramia longicauda
HarrisonGoldspiel_LandVertsNortheast,Calidris acuminata
HarrisonGoldspiel_LandVertsNortheast,Calidris alba
HarrisonGoldspiel_LandVertsNortheast,Calidris alpina
HarrisonGoldspiel_LandVertsNortheast,Calidris bairdii
HarrisonGoldspiel_LandVertsNortheast,Calidris canutus
HarrisonGoldspiel_LandVertsNortheast,Calidris falcinellus
HarrisonGoldspiel_LandVertsNortheast,Calidris ferruginea
HarrisonGoldspiel_LandVertsNortheast,Calidris himantopus
HarrisonGoldspiel_LandVertsNortheast,Calidris maritima
HarrisonGoldspiel_LandVertsNortheast,Calidris mauri
HarrisonGoldspiel_LandVertsNortheast,Calidris melanotos
HarrisonGoldspiel_LandVertsNortheast,Calidris minuta
HarrisonGoldspiel_LandVertsNortheast,Calidris minutilla
HarrisonGoldspiel_LandVertsNortheast,Calidris pugnax
HarrisonGoldspiel_LandVertsNortheast,Calidris pusilla
HarrisonGoldspiel_LandVertsNortheast,Calidris ruficollis
HarrisonGoldspiel_LandVertsNortheast,Calidris subruficollis
HarrisonGoldspiel_LandVertsNortheast,Calidris tenuirostris
HarrisonGoldspiel_LandVertsNortheast,Calidris virgata
HarrisonGoldspiel_LandVertsNortheast,Gallinago delicata
HarrisonGoldspiel_LandVertsNortheast,Limnodromus griseus
HarrisonGoldspiel_LandVertsNortheast,Limnodromus scolopaceus
HarrisonGoldspiel_LandVertsNortheast,Limosa fedoa
HarrisonGoldspiel_LandVertsNortheast,Limosa haemastica
HarrisonGoldspiel_LandVertsNortheast,Limosa lapponica
HarrisonGoldspiel_LandVertsNortheast,Limosa limosa
HarrisonGoldspiel_LandVertsNortheast,Numenius americanus
HarrisonGoldspiel_LandVertsNortheast,Numenius arquata
HarrisonGoldspiel_LandVertsNortheast,Numenius borealis
HarrisonGoldspiel_LandVertsNortheast,Numenius phaeopus
HarrisonGoldspiel_LandVertsNortheast,Phalaropus fulicarius
HarrisonGoldspiel_LandVertsNortheast,Phalaropus lobatus
HarrisonGoldspiel_LandVertsNortheast,Phalaropus tricolor
HarrisonGoldspiel_LandVertsNortheast,Scolopax minor
HarrisonGoldspiel_LandVertsNortheast,Tringa brevipes
HarrisonGoldspiel_LandVertsNortheast,Tringa erythropus
HarrisonGoldspiel_LandVertsNortheast,Tringa flavipes
HarrisonGoldspiel_LandVertsNortheast,Tringa incana
HarrisonGoldspiel_LandVertsNortheast,Tringa melanoleuca
HarrisonGoldspiel_LandVertsNortheast,Tringa nebularia
HarrisonGoldspiel_LandVertsNortheast,Tringa semipalmatus
HarrisonGoldspiel_LandVertsNortheast,Tringa solitaria
HarrisonGoldspiel_LandVertsNortheast,Xenus cinereus
HarrisonGoldspiel_LandVertsNortheast,Stercorarius longicaudus
HarrisonGoldspiel_LandVertsNortheast,Stercorarius maccormicki
HarrisonGoldspiel_LandVertsNortheast,Stercorarius parasiticus
HarrisonGoldspiel_LandVertsNortheast,Stercorarius pomarinus
HarrisonGoldspiel_LandVertsNortheast,Stercorarius skua
HarrisonGoldspiel_LandVertsNortheast,Mycteria americana
